,Unnamed: 0,url,region,province,locality,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
279,279,https://www.immoweb.be/en/classified/house/for-sale/grimbergen/1850/10836284,Flanders,Flemish Brabant,Grimbergen,HOUSE,HOUSE,569000.0,6.0,285.0,HYPER_EQUIPPED,0,0,1,0.0,0,0.0,903,3,0,GOOD
280,280,https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/10836282,Brussels,Brussels,Evere,APARTMENT,APARTMENT,260000.0,2.0,73.0,HYPER_EQUIPPED,0,0,1,2.0,0,0.0,-1,1,0,GOOD
281,281,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10836281,Brussels,Brussels,Woluwe-Saint-Lambert,APARTMENT,APARTMENT,285000.0,2.0,89.0,INSTALLED,0,0,1,6.0,0,0.0,-1,1,0,GOOD
282,282,https://www.immoweb.be/en/classified/house/for-sale/jette/1090/10836279,Brussels,Brussels,Jette,HOUSE,HOUSE,340000.0,5.0,250.0,NOT_INSTALLED,0,0,0,0.0,1,300.0,400,2,0,TO_RENOVATE
283,283,https://www.immoweb.be/en/classified/villa/for-sale/lasne/1380/10836276,Wallonie,Walloon Brabant,Lasne,HOUSE,VILLA,1075000.0,4.0,316.0,INSTALLED,0,0,1,0.0,1,1974.0,2290,4,0,AS_NEW
284,284,https://www.immoweb.be/en/classified/villa/for-sale/tienen/3300/10836275,Flanders,Flemish Brabant,Tienen,HOUSE,VILLA,725000.0,5.0,368.0,HYPER_EQUIPPED,0,0,1,40.0,1,2500.0,2739,4,1,AS_NEW
285,285,https://www.immoweb.be/en/classified/flat-studio/for-sale/middelkerke/8434/10836274,Flanders,West Flanders,Middelkerke,APARTMENT,FLAT_STUDIO,98000.0,0.0,24.0,INSTALLED,1,0,1,0.0,0,0.0,,2,0,GOOD
286,286,https://www.immoweb.be/en/classified/apartment/for-sale/middelkerke/8434/10836273,Flanders,West Flanders,Middelkerke,APARTMENT,APARTMENT,220000.0,2.0,83.0,HYPER_EQUIPPED,0,0,1,0.0,0,0.0,-1,2,0,GOOD
287,287,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/bomal%20%28ramillies%29/1367/10836267,Wallonie,Walloon Brabant,Bomal (Ramillies),HOUSE_GROUP,HOUSE_GROUP,,0.0,195.2316176470588,NOT_INSTALLED,0,0,0,0.0,0,0.0,-1,1,0,
288,288,https://www.immoweb.be/en/classified/house/for-sale/arendonk/2370/10836265,Flanders,Antwerp,Arendonk,HOUSE,HOUSE,239000.0,2.0,137.0,HYPER_EQUIPPED,0,0,1,0.0,0,0.0,140,3,0,GOOD
