,url,region,province,locality,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
253,https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/10828802,Flanders,Antwerp,Mechelen,HOUSE,HOUSE,295000.0,2.0,172.0,INSTALLED,,,True,,,,189,2,False,GOOD
254,https://www.immoweb.be/en/classified/house/for-sale/wezembeek-oppem/1970/10828745,Flanders,Flemish Brabant,Wezembeek-Oppem,HOUSE,HOUSE,329000.0,3.0,80.0,INSTALLED,False,,True,28.0,True,60.0,170,3,False,TO_BE_DONE_UP
255,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/laakdal/2430/10829868,Flanders,Antwerp,Laakdal,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
256,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/10829358,Brussels,Brussels,Uccle,HOUSE,HOUSE,695000.0,4.0,185.0,USA_INSTALLED,False,,True,,True,240.0,308,2,False,TO_RENOVATE
257,https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/10828236,Brussels,Brussels,Ixelles,HOUSE,HOUSE,830000.0,4.0,282.0,INSTALLED,False,,,,True,80.0,163,2,False,TO_BE_DONE_UP
258,https://www.immoweb.be/en/classified/house/for-sale/li%C3%A8ge/4031/10826704,Wallonie,Liège,Liège,HOUSE,HOUSE,249000.0,1.0,95.0,INSTALLED,,-1.0,,,True,93.0,149,2,,JUST_RENOVATED
259,https://www.immoweb.be/en/classified/house/for-sale/bertem/3060/10825503,Flanders,Flemish Brabant,Bertem,HOUSE,HOUSE,298000.0,4.0,112.0,SEMI_EQUIPPED,False,,True,24.0,True,272.0,450,4,False,TO_BE_DONE_UP
260,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/roms%C3%A9e/4624/10825893,Wallonie,Liège,Romsée,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
261,https://www.immoweb.be/en/classified/house/for-sale/wezembeek-oppem/1970/10827696,Flanders,Flemish Brabant,Wezembeek-Oppem,HOUSE,HOUSE,329000.0,3.0,80.0,INSTALLED,False,,True,14.0,True,60.0,170,3,False,TO_BE_DONE_UP
262,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/geraardsbergen/9500/10825603,Flanders,East Flanders,Geraardsbergen,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
263,https://www.immoweb.be/en/classified/house/for-sale/roosdaal/1760/10825693,Flanders,Flemish Brabant,Roosdaal,HOUSE,HOUSE,360000.0,3.0,301.0,SEMI_EQUIPPED,,,True,,,,545,3,False,GOOD
264,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/erpe-mere/9420/10827497,Flanders,East Flanders,ERPE-MERE,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
265,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/wetteren/9230/10824904,Flanders,East Flanders,Wetteren,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
